Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend
3688.262,171.70,84.71,0.6797
3689.274,171.75,82.89,0.3566
3690.287,171.80,82.52,0.2903
3691.3,171.85,81.72,0.1478
3692.312,171.90,83.99,0.5490
3693.325,171.95,83.95,0.5412
3694.338,172.00,82.90,0.3544
3695.351,172.05,84.41,0.6211
3696.363,172.10,83.28,0.4202
3697.376,172.15,83.50,0.4583
3698.389,172.20,83.81,0.5125
3699.401,172.25,81.18,0.0459
3700.414,172.30,82.35,0.2523
3701.427,172.35,81.53,0.1063
3702.439,172.40,82.32,0.2454
3703.452,172.45,82.06,0.1986
3704.465,172.50,81.74,0.1411
3705.478,172.55,82.19,0.2201
3706.49,172.60,81.31,0.0634
3707.503,172.65,81.47,0.0910
3708.515,172.70,78.84,-0.3756
3709.528,172.75,80.80,-0.0293
3710.541,172.80,79.38,-0.2815
3711.554,172.85,79.90,-0.1902
3712.566,172.90,78.76,-0.3929
3713.579,172.95,79.58,-0.2485
3714.592,173.00,79.72,-0.2244
3715.604,173.05,80.50,-0.0871
3716.617,173.10,78.62,-0.4208
3717.63,173.15,79.71,-0.2286
3718.642,173.20,80.88,-0.0222
3719.655,173.25,80.99,-0.0035
3720.668,173.30,81.01,-0.0007
3721.681,173.35,80.93,-0.0157
3722.693,173.40,80.12,-0.1599
3723.706,173.45,80.51,-0.0916
3724.719,173.50,83.79,0.4885
3725.731,173.55,84.38,0.5922
3726.744,173.60,84.79,0.6640
3727.756,173.65,85.05,0.7093
3728.769,173.70,84.97,0.6943
3729.782,173.75,82.78,0.3057
3730.795,173.80,85.41,0.7707
3731.807,173.85,85.48,0.7823
3732.82,173.90,85.11,0.7160
3733.833,173.95,85.30,0.7489
3734.845,174.00,85.50,0.7835
3735.858,174.05,84.55,0.6145
3736.871,174.10,84.42,0.5907
3737.883,174.15,83.12,0.3596
3738.896,174.20,82.77,0.2969
3739.909,174.25,82.42,0.2341
3740.922,174.30,82.07,0.1713
3741.934,174.35,82.35,0.2201
3742.947,174.40,82.88,0.3132
3743.959,174.45,82.66,0.2735
3744.972,174.50,83.12,0.3541
3745.985,174.55,83.28,0.3817
3746.998,174.60,81.97,0.1489
3748.01,174.65,83.09,0.3465
3749.023,174.70,84.24,0.5494
3750.036,174.75,83.69,0.4512
3751.048,174.80,81.79,0.1139
3752.061,174.85,82.95,0.3185
3753.073,174.90,81.24,0.0149
3754.086,174.95,83.41,0.3984
3755.099,175.00,81.61,0.0789
3756.112,175.05,82.64,0.2605
3757.125,175.10,81.31,0.0242
3758.137,175.15,75.86,-0.9418
