Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend
1590,,3.724,0.1951
1593,,3.865,-0.2237
1595,,3.71,0.2318
1598,,3.607,0.5330
1600,,3.526,0.7702
1603,,3.382,1.1923
1605,,3.547,0.7036
1608,,3.674,0.3261
1610,,3.674,0.3243
1613,,3.877,-0.2775
1615,,3.856,-0.2174
1618,,3.882,-0.2968
1620,,3.667,0.3357
1623,,3.682,0.2887
1625,,3.76,0.0567
1628,,4.015,-0.6985
1630,,3.551,0.6689
1633,,3.571,0.6071
1635,,3.558,0.6436
1638,,3.6,0.5169
1640,,3.658,0.3439
1643,,3.901,-0.3758
1645,,4.04,-0.7878
1648,,4.191,-1.2361
1650,,4.187,-1.2262
1653,,4.256,-1.4325
1655,,4.254,-1.4285
1658,,4.116,-1.0240
1660,,4.153,-1.1350
1663,,4.082,-0.9283
1665,,4.086,-0.9419
1668,,3.922,-0.4608
1670,,3.879,-0.3357
1673,,3.881,-0.3444
1675,,3.583,0.5331
1678,,3.693,0.2058
1680,,3.646,0.3426
1683,,3.599,0.4786
1685,,3.585,0.5180
1688,,3.745,0.0432
1690,,3.715,0.1298
1693,,3.751,0.0209
1695,,3.84,-0.2436
1698,,3.777,-0.0604
1700,,4.073,-0.9357
1703,,4.109,-1.0447
1705,,4.181,-1.2590
1708,,4.182,-1.2647
1710,,3.93,-0.5229
1713,,3.86,-0.3191
1715,,3.838,-0.2560
1718,,3.59,0.4730
1720,,3.494,0.7544
1723,,3.751,-0.0067
1725,,3.791,-0.1265
1728,,3.797,-0.1470
1730,,3.743,0.0105
1733,,3.856,-0.3257
1735,,3.597,0.4367
1738,,3.6,0.4251
1740,,3.709,0.1016
1743,,3.707,0.1048
1745,,4.12,-1.1157
1748,,4.17,-1.2660
1750,,4.165,-1.2531
1753,,3.846,-0.3145
1755,,3.74,-0.0036
1758,,3.828,-0.2660
1760,,3.526,0.6233
1763,,3.629,0.3166
1765,,3.491,0.7220
1768,,3.516,0.6454
1770,,3.486,0.7321
1773,,3.407,0.9625
1775,,3.519,0.6302
1778,,3.569,0.4799
1780,,3.673,0.1712
1783,,3.754,-0.0706
1785,,3.801,-0.2111
1788,,3.875,-0.4322
1790,,3.976,-0.7321
1793,,4.029,-0.8912
1795,,4.091,-1.0760
1798,,3.929,-0.6008
1800,,3.955,-0.6793
1803,,3.8,-0.2247
1805,,3.685,0.1128
1808,,3.66,0.1838
1810,,3.515,0.6098
1813,,3.666,0.1615
1815,,3.612,0.3190
1818,,3.957,-0.7017
1820,,3.837,-0.3495
1823,,3.723,-0.0159
1825,,3.705,0.0354
1828,,3.634,0.2422
1830,,3.451,0.7803
1833,,3.614,0.2966
1835,,3.64,0.2180
1838,,3.543,0.5015
1840,,3.583,0.3816
1843,,3.539,0.5087
1845,,3.638,0.2148
1848,,3.781,-0.2100
1850,,3.642,0.1984
1853,,3.626,0.2428
1855,,3.553,0.4564
1858,,3.655,0.1527
1860,,3.884,-0.5249
1863,,4.142,-1.2889
1865,,4.17,-1.3734
1868,,3.948,-0.7211
1870,,4.004,-0.8882
1873,,3.855,-0.4513
1875,,3.83,-0.3793
1878,,3.759,-0.1726
1880,,3.767,-0.1980
1883,,3.766,-0.1978
1885,,3.76,-0.1820
1888,,3.596,0.2992
1890,,3.693,0.0112
1893,,3.649,0.1382
1895,,3.725,-0.0879
1898,,3.706,-0.0346
1900,,3.952,-0.7623
1903,,3.974,-0.8299
1905,,4.019,-0.9646
1908,,3.871,-0.5306
1910,,3.822,-0.3879
1913,,3.759,-0.2047
1915,,3.734,-0.1328
1918,,3.66,0.0828
1920,,3.698,-0.0311
1923,,3.63,0.1668
1925,,3.522,0.4836
1928,,3.469,0.6372
1930,,3.513,0.5056
1933,,3.464,0.6474
1935,,3.505,0.5246
1938,,3.578,0.3064
1940,,3.511,0.5023
1943,,4.019,-0.9994
1945,,4.031,-1.0367
1948,,4.171,-1.4525
1950,,4.103,-1.2537
1953,,4.031,-1.0440
1955,,3.892,-0.6357
1958,,3.774,-0.2903
1960,,3.843,-0.4957
1963,,3.904,-0.6785
1965,,3.741,-0.1993
1968,,3.611,0.1815
1970,,3.748,-0.2246
1973,,3.521,0.4425
1975,,3.579,0.2695
1978,,3.426,0.7182
1980,,3.335,0.9849
1983,,3.38,0.8494
1985,,3.349,0.9390
1988,,3.522,0.4258
1990,,3.673,-0.0216
1993,,3.668,-0.0096
1995,,3.592,0.2128
1998,,3.685,-0.0644
2000,,3.839,-0.5206
2003,,3.82,-0.4673
2005,,3.929,-0.7908
2008,,3.871,-0.6224
2010,,3.559,0.2964
2013,,3.655,0.0104
2015,,3.793,-0.3987
2018,,3.569,0.2595
2020,,3.533,0.3639
2023,,3.461,0.5736
2025,,3.245,1.2091
2028,,3.463,0.5631
2030,,3.361,0.8623
2033,,3.356,0.8743
2035,,3.574,0.2292
2038,,3.653,-0.0067
2040,,3.646,0.0121
2043,,3.634,0.0448
2045,,3.918,-0.7951
2048,,3.8,-0.4496
2050,,3.693,-0.1357
2053,,3.666,-0.0588
2055,,3.599,0.1370
2058,,3.712,-0.1991
2060,,3.711,-0.1980
2063,,3.938,-0.8706
2065,,4.199,-1.6426
2068,,4.202,-1.6542
2070,,4.23,-1.7386
2073,,4.283,-1.8978
2075,,4.128,-1.4423
2078,,4.152,-1.5158
2080,,3.977,-1.0013
2083,,3.993,-1.0512
2085,,3.868,-0.6842
2088,,3.864,-0.6752
2090,,3.684,-0.1459
2093,,3.588,0.1346
2095,,3.497,0.4013
2098,,3.431,0.5933
2100,,3.47,0.4764
2103,,3.567,0.1874
2105,,3.647,-0.0505
2108,,3.672,-0.1270
2110,,3.547,0.2400
2113,,3.501,0.3730
2115,,3.517,0.3239
2118,,3.697,-0.2100
2120,,3.695,-0.2059
2123,,3.644,-0.0582
2125,,3.501,0.3620
2128,,3.472,0.4448
2130,,3.317,0.9003
2133,,3.287,0.9861
2135,,3.27,1.0344
2138,,3.35,0.7956
2140,,3.246,1.1006
2143,,3.468,0.4428
2145,,3.605,0.0367
2148,,3.991,-1.1050
2150,,4.163,-1.6144
2153,,4.2,-1.7263
2155,,4.242,-1.8521
2158,,4.118,-1.4889
2160,,4.11,-1.4672
2163,,3.97,-1.0568
2165,,3.889,-0.8197
2168,,3.79,-0.5303
2170,,3.703,-0.2754
2173,,3.671,-0.1837
2175,,3.539,0.2039
2178,,3.517,0.2661
2180,,3.365,0.7128
2183,,3.405,0.5920
2185,,3.402,0.5990
2188,,3.414,0.5608
2190,,3.568,0.1046
2193,,3.678,-0.2228
2195,,3.781,-0.5285
2198,,3.847,-0.7260
2200,,3.857,-0.7574
2203,,3.807,-0.6126
2205,,3.714,-0.3400
2208,,3.615,-0.0506
2210,,3.587,0.0302
2213,,3.498,0.2900
2215,,3.565,0.0905
2218,,3.642,-0.1395
2220,,3.556,0.1124
2223,,3.488,0.3103
2225,,3.394,0.5859
2228,,3.421,0.5035
2230,,3.461,0.3836
2233,,3.492,0.2894
2235,,3.554,0.1046
2238,,3.776,-0.5532
2240,,3.984,-1.1688
2243,,3.928,-1.0063
2245,,3.783,-0.5803
2248,,3.753,-0.4946
2250,,3.594,-0.0272
2253,,3.448,0.4008
2255,,3.357,0.6675
2258,,3.336,0.7267
2260,,3.257,0.9580
2263,,3.267,0.9257
2265,,3.464,0.3426
2268,,3.398,0.5346
2270,,3.463,0.3410
2273,,3.508,0.2054
2275,,3.906,-0.9708
2278,,3.816,-0.7080
2280,,3.83,-0.7511
2283,,3.87,-0.8719
2285,,3.805,-0.6820
2288,,3.691,-0.3483
2290,,3.727,-0.4564
2293,,3.454,0.3464
2295,,3.435,0.4006
2298,,3.274,0.8729
2300,,3.308,0.7708
2303,,3.348,0.6500
2305,,3.358,0.6187
2308,,3.43,0.4034
2310,,3.607,-0.1207
2313,,3.726,-0.4746
2315,,3.722,-0.4646
2318,,3.772,-0.6149
2320,,3.775,-0.6256
2323,,3.701,-0.4100
2325,,3.539,0.0662
2328,,3.579,-0.0546
2330,,3.621,-0.1803
2333,,3.548,0.0323
2335,,3.395,0.4819
2338,,3.286,0.8008
2340,,3.227,0.9731
2343,,3.349,0.6103
2345,,3.373,0.5377
2348,,3.275,0.8241
2350,,3.583,-0.0866
2353,,3.744,-0.5644
2355,,3.835,-0.8347
2358,,3.94,-1.1473
2360,,3.912,-1.0665
2363,,3.781,-0.6827
2365,,3.842,-0.8646
2368,,3.627,-0.2329
2370,,3.655,-0.3174
2373,,3.679,-0.3910
2375,,3.479,0.1974
2378,,3.416,0.3805
2380,,3.404,0.4141
2383,,3.268,0.8126
2385,,3.338,0.6042
2388,,3.463,0.2326
2390,,3.526,0.0449
2393,,3.579,-0.1142
2395,,3.423,0.3442
2398,,3.417,0.3592
2400,,3.515,0.0682
2403,,3.637,-0.2946
2405,,3.69,-0.4528
2408,,3.418,0.3471
2410,,3.305,0.6786
2413,,3.33,0.6021
2415,,3.41,0.3642
2418,,3.318,0.6329
2420,,3.357,0.5160
2423,,3.526,0.0146
2425,,3.541,-0.0315
2428,,3.644,-0.3382
2430,,3.946,-1.2311
2433,,4.156,-1.8535
2435,,4.101,-1.6931
2438,,4.146,-1.8286
2440,,4.033,-1.4970
2443,,3.995,-1.3876
2445,,3.943,-1.2360
2448,,3.947,-1.2506
2450,,3.738,-0.6357
2453,,3.672,-0.4437
2455,,3.509,0.0354
2458,,3.434,0.2539
2460,,3.407,0.3318
2463,,3.259,0.7657
2465,,3.273,0.7226
2468,,3.324,0.5693
2470,,3.314,0.5970
2473,,3.52,-0.0136
2475,,3.635,-0.3548
2478,,3.641,-0.3752
2480,,3.771,-0.7607
