Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
416.18,18.85,25.63
416.6,18.87,15.64
417.02,18.89,18.23
417.43,18.91,8.86
417.85,18.93,19.93
418.27,18.95,14.81
418.69,18.97,18.42
419.11,18.99,21.6
419.32,19,23.24
419.74,19.02,22.34
420.15,19.04,32.44
420.57,19.06,35.03
420.99,19.08,45.7
421.41,19.1,29.42
421.83,19.12,56.88
422.24,19.14,84.5
422.66,19.16,54.59
423.08,19.18,144.54
423.29,19.19,64.96
423.71,19.21,150.44
424.13,19.23,50.04
424.54,19.25,140.96
424.96,19.27,144.52
425.38,19.29,170.14
425.8,19.31,237.99
426.22,19.33,143.97
426.63,19.35,126.38
427.05,19.37,187.23
427.47,19.39,138.28
427.89,19.41,69.55
428.31,19.43,230.5
428.73,19.45,55.71
429.14,19.47,355.89
429.56,19.49,177.71
429.98,19.51,250.47
430.4,19.53,77.86
430.82,19.55,156.72
431.24,19.57,356.06
431.65,19.59,113.66
432.07,19.61,231.3
432.49,19.63,289.51
432.91,19.65,247.21
433.33,19.67,431.88
433.74,19.69,246.85
434.16,19.71,202.39
434.58,19.73,290.34
435,19.75,360.88
435.42,19.77,288.67
435.84,19.79,216.56
436.25,19.81,327.41
436.67,19.83,199.51
437.09,19.85,200.93
437.51,19.87,461.41
437.93,19.89,167.54
438.35,19.91,160.88
438.76,19.93,77.77
439.18,19.95,151.83
439.6,19.97,164.45
440.02,19.99,171.86
440.44,20.01,169.49
440.85,20.03,150.89
441.27,20.05,136.52
441.69,20.07,168.39
442.11,20.09,160.85
442.53,20.11,128.48
442.95,20.13,138.22
443.36,20.15,137.46
443.78,20.17,108.79
444.2,20.19,92.59
444.62,20.21,109.41
445.04,20.23,110.15
445.45,20.25,66.39
445.87,20.27,64.37
446.29,20.29,96.8
446.71,20.31,96.64
447.13,20.33,108.5
447.54,20.35,64.26
447.96,20.37,97.44
448.38,20.39,119.89
448.8,20.41,101.61
449.22,20.43,95.34
449.64,20.45,62.71
450.05,20.47,76.78
450.47,20.49,120.03
450.89,20.51,29.92
451.31,20.53,81.94
451.73,20.55,109.5
452.15,20.57,124.39
452.56,20.59,151.12
452.98,20.61,135.21
453.4,20.63,86.9
453.82,20.65,68.65
454.24,20.67,108.47
454.66,20.69,157.75
455.07,20.71,148.36
455.49,20.73,106.51
455.91,20.75,134.96
456.33,20.77,107.58
456.75,20.79,85.33
457.16,20.81,97.33
457.58,20.83,103.06
458,20.85,66.53
458.42,20.87,98.6
458.84,20.89,88.62
459.26,20.91,72.03
459.67,20.93,113.29
460.09,20.95,137.5
460.51,20.97,171.11
461.14,21,135.34
461.77,21.03,108.49
462.18,21.05,84.03
463.86,21.13,55.02
464.69,21.17,54.91
465.11,21.19,60.44
465.53,21.21,53.36
465.74,21.22,44.14
466.15,21.24,62.97
466.57,21.26,53.53
466.99,21.28,70.82
467.2,21.29,76.84
467.62,21.31,39.17
468.04,21.33,40.61
468.25,21.34,96.23
468.66,21.36,85.11
469.08,21.38,88.36
469.5,21.4,90.87
469.92,21.42,154.01
470.34,21.44,133.73
471.38,21.49,146.21
471.8,21.51,48.61
472.22,21.53,102.45
472.64,21.55,55.95
472.85,21.56,79
473.05,21.57,41.58
473.23,21.58,81.1
473.42,21.59,66.86
473.6,21.6,36.92
473.79,21.61,93.42
473.98,21.62,99.97
474.16,21.63,40.4
474.35,21.64,64.24
474.53,21.65,70.01
474.72,21.66,38.03
474.91,21.67,59.36
475.09,21.68,48.23
475.28,21.69,68.57
475.46,21.7,34.37
475.83,21.72,72.26
475.83,21.72,88.82
476.21,21.74,105.45
476.21,21.74,56.62
476.58,21.76,129.57
476.58,21.76,67.63
476.95,21.78,132.27
476.95,21.78,90.85
477.32,21.8,56.63
477.32,21.8,72.27
477.69,21.82,107.43
477.69,21.82,116.26
478.06,21.84,75.86
478.06,21.84,23.06
478.4,21.86,113.04
478.73,21.88,115.28
479.06,21.9,60.95
479.4,21.92,27.42
479.73,21.94,19.13
480.07,21.96,27.53
480.4,21.98,31.5
480.74,22,18.58
481.07,22.02,52.46
481.41,22.04,25.76
481.74,22.06,46.85
482.08,22.08,30.81
482.41,22.1,13.58
482.74,22.12,15.32
483.08,22.14,21.9
483.41,22.16,11.73
483.75,22.18,15.52
484.08,22.2,8.79
484.75,22.24,19.1
485.09,22.26,17.1
485.42,22.28,12.05
485.76,22.3,12.64
486.09,22.32,19.75
486.43,22.34,20.55
486.76,22.36,27.43
487.09,22.38,42.13
