Age (ka),  SST Depth (amcd),SST (°C)
536.77,26.4,12.49
536.99,26.42,12.8
536.99,26.42,14.33
537.21,26.44,13.79
537.44,26.46,13.76
537.67,26.48,14.39
537.95,26.5,15.07
538.23,26.52,15.13
538.5,26.54,14.7
538.8,26.56,14.38
539.09,26.58,15.57
539.6,26.61,15.96
539.93,26.63,15.57
540.27,26.65,15.66
540.6,26.67,14.73
540.93,26.69,16.05
541.27,26.71,15.89
541.6,26.73,17.42
541.94,26.75,16.04
542.44,26.78,15.75
542.78,26.8,16.31
543.15,26.82,16.44
543.53,26.84,16.36
543.9,26.86,17.16
544.27,26.88,15.72
544.64,26.9,16.3
545.01,26.92,16.22
545.4,26.94,16.31
546.03,26.97,16.38
546.45,26.99,16.11
546.87,27.01,16.38
547.28,27.03,16.54
547.7,27.05,16.45
548.12,27.07,16.81
548.54,27.09,16.28
548.96,27.11,16.49
549.37,27.13,15.99
550,27.16,15.09
550.42,27.18,15.69
550.84,27.2,14.23
551.26,27.22,14.57
551.67,27.24,14.29
552.09,27.26,15.2
552.51,27.28,15.05
552.93,27.3,14.93
553.56,27.33,15.9
553.98,27.35,15.94
554.39,27.37,16.76
554.81,27.39,15.03
555.23,27.41,15.02
555.65,27.43,16.94
556.07,27.45,16.81
556.48,27.47,16.18
556.9,27.49,13.63
557.53,27.52,15.42
557.95,27.54,15.25
558.37,27.56,14.93
558.79,27.58,14.9
559.2,27.6,15.05
560.04,27.64,14.42
560.46,27.66,14.37
561.09,27.69,14.12
561.5,27.71,13.34
561.92,27.73,12.21
562.34,27.75,13.67
562.76,27.77,14.28
563.18,27.79,13.39
563.59,27.81,14.99
564.01,27.83,15.04
564.43,27.85,13.26
565.06,27.88,16.73
565.48,27.9,16.58
565.89,27.92,15.01
566.31,27.94,15.69
566.73,27.96,16.63
567.15,27.98,14.91
567.57,28,16
567.98,28.02,16.84
568.4,28.04,16.62
569.03,28.07,15.64
569.45,28.09,15.73
569.87,28.11,14.94
570.28,28.13,16.21
570.7,28.15,14.43
571.12,28.17,15.44
571.54,28.19,14.38
571.96,28.21,13.8
572.17,28.22,15.6
572.59,28.24,16.8
572.79,28.25,16.43
573.21,28.27,16.91
573.63,28.29,18.25
573.84,28.3,15.01
574.26,28.32,17.77
574.47,28.33,15.77
574.89,28.35,16.47
575.3,28.37,18.71
575.51,28.38,18.55
575.93,28.4,17.75
576.14,28.41,16.16
576.56,28.43,16.76
576.98,28.45,17.84
577.6,28.48,17.55
577.81,28.49,16.48
578.23,28.51,17.42
578.65,28.53,17.65
578.86,28.54,16.4
579.7,28.58,12.43
580.11,28.6,13.09
580.53,28.62,13.84
580.95,28.64,11.94
581.37,28.66,12.29
581.79,28.68,12.39
582.21,28.7,15.98
582.62,28.72,15.11
583.25,28.75,13.25
583.62,28.77,14.1
584,28.79,15.5
584.37,28.81,14.11
584.74,28.83,13.52
585.11,28.85,15.53
585.48,28.87,15.86
585.86,28.89,16.01
586.23,28.91,17.59
586.6,28.93,16.07
587.16,28.96,17.62
589.39,29.08,15.22
589.76,29.1,18.75
590.13,29.12,15.24
590.5,29.14,15.17
591.06,29.17,13.87
591.8,29.21,17.06
592.17,29.23,17.69
592.55,29.25,16.81
592.92,29.27,17.58
593.29,29.29,16.59
593.66,29.31,17.11
594.03,29.33,18.83
594.41,29.35,17.2
594.96,29.38,16.74
595.34,29.4,16.66
595.71,29.42,16.39
596.08,29.44,15.11
596.45,29.46,16.01
596.82,29.48,16.15
597.19,29.5,16.24
597.57,29.52,16.19
597.94,29.54,16.3
598.31,29.56,15.95
598.87,29.59,16.54
599.24,29.61,16.25
599.61,29.63,17.29
599.98,29.65,16.76
600.35,29.67,16.87
600.73,29.69,16.68
601.1,29.71,16.58
601.47,29.73,17.43
601.84,29.75,16.36
602.21,29.77,16.37
602.77,29.8,17.04
603.14,29.82,16.38
603.51,29.84,16.28
603.88,29.86,17.45
604.26,29.88,17
604.63,29.9,17.33
605,29.92,18.12
605.37,29.94,16.99
605.74,29.96,17.82
606.12,29.98,17.25
606.53,30,17.46
607.16,30.03,18.2
607.58,30.05,17.1
608,30.07,17.83
608.42,30.09,18.46
608.84,30.11,18.24
609.25,30.13,18.5
609.67,30.15,19.07
610.1,30.17,19.15
610.33,30.18,19.14
610.77,30.2,18.85
611.22,30.22,20.2
