Age,d180,d180N,L*,SST,Alkane,Alkanol,Sediment,Red,Green,Blue,Grey
440,4.765,-1.91947644,-1.8719075369999998,-1.509039711,-0.5227691760000001,0.7548500659999999,4.23340834,-0.921031507,-0.7503488620000001,-0.499176409,-0.774948739
441,4.949,-2.2883313,-1.891321686,-1.499581162,-0.5407243939999999,0.7548500659999999,4.223198261,-1.995044873,-1.822656153,-1.604711114,-1.85646585
442,4.963,-2.316396343,-1.78138339,-1.479252411,-0.54511791,0.7534314440000001,4.221595747,-0.23920267,-0.066396928,0.076268445,-0.102009074
443,4.906000000000001,-2.2021315230000003,-1.731484948,-1.463693271,-0.553787526,0.744941875,4.214932025,0.978945191,1.19373668,1.226484688,1.1382293209999998
444,4.824,-2.037750552,-1.6240093130000002,-1.4489644940000002,-0.568268536,0.744941875,4.218954103,1.120778897,1.4317939780000002,1.3890018259999999,1.339813427
445,4.888,-2.166047895,-1.5083085680000001,-1.435027795,-0.575694597,0.744941875,4.212005702,1.136815374,1.3727353409999998,1.3477519130000002,1.30515317
446,4.849,-2.087866702,-1.393408954,-1.41794619,-0.583472286,0.744941875,4.205157221,0.954541819,1.141018847,1.12618437,1.088021345
447,4.506,-1.4002731309999998,-1.307966824,-1.405996851,-0.591489496,0.741280463,4.2090330510000005,0.807196287,0.934076922,0.925346812,0.897917759
448,4.765,-1.91947644,-1.047563416,-1.397806701,-0.602257766,0.739946503,4.202529895,0.731532249,0.8109511559999999,0.717802925,0.7790842459999999
449,4.725,-1.8392906000000002,-1.115396447,-1.387073148,-0.607038066,0.739946503,4.200873808,-0.7212397890000001,-0.692198978,-0.600437216,-0.6933746590000001
450,4.749,-1.887402104,-1.279148835,-1.382363925,-0.608230046,0.744470497,4.200873808,-0.820571512,-0.858563063,-0.766057827,-0.8382539809999999
451,4.582,-1.5526262259999999,-1.2168075859999998,-1.3683184869999998,-0.615383817,0.744470497,4.196353307,-0.918177019,-0.9232434409999999,-0.806411614,-0.909834129
452,4.734,-1.857332414,-1.234723897,-1.3490484440000001,-0.616824753,0.744470497,4.175253325,-0.830273475,-0.80914197,-0.7063993159999999,-0.805718093
453,4.559,-1.5065193680000002,-1.153944241,-1.3295553359999999,-0.623836646,0.744470497,4.1582604839999995,-0.8709826559999999,-0.79991252,-0.78833443,-0.8257448140000001
454,4.5969999999999995,-1.582695915,-1.034657602,-1.306577423,-0.632300327,0.7416355809999999,4.1400792730000004,-1.008735578,-0.936762159,-0.97912876,-0.9692585579999999
455,4.413,-1.213841055,-0.80784522,-1.283088675,-0.639327643,0.7394016659999999,4.120849825,-1.170325531,-1.10291939,-1.1237670370000001,-1.133510107
456,4.623,-1.634816711,-0.6098557379999999,-1.262553645,-0.652413703,0.7394016659999999,4.1055085280000005,-1.03222594,-0.980097477,-0.9603917740000001,-1.000585423
457,4.628,-1.6448399409999999,-1.534613634,-1.250323293,-0.663354325,0.74101853,4.103337208999999,-0.8873524429999999,-0.832727832,-0.91644261,-0.863578134
458,4.52,-1.428338175,-1.339620234,-1.228219086,-0.6895694370000001,0.7411728940000001,4.103007108,-1.08810388,-1.01721116,-1.09680207,-1.054456501
459,4.626,-1.640830649,-1.324596992,-1.213903054,-0.70111667,0.7411728940000001,4.091224283,-1.0143357709999998,-0.9583523000000002,-0.947833575,-0.9801033240000001
460,4.566,-1.52055189,-1.047491876,-1.198864485,-0.7120287959999999,0.7411728940000001,4.076728219,-0.68013988,-0.603367225,-0.652718494,-0.635869769
461,4.586,-1.560644809,-0.534033722,-1.1907820690000002,-0.713532728,0.742221975,4.0574872630000005,-0.7383185,-0.661856628,-0.7765373179999999,-0.702842622
462,4.601,-1.5907144990000002,-0.777491794,-1.174704025,-0.713829666,0.745473452,4.051130935,-0.731230701,-0.6505362339999999,-0.7622394229999999,-0.69222066
463,4.614,-1.616774897,-0.799577208,-1.158770235,-0.708648095,0.7470301290000001,4.044750229,-0.7720064670000001,-0.710180774,-0.8158666720000001,-0.745405175
464,4.452,-1.2920222479999999,-1.003522146,-1.147908208,-0.7062516640000001,0.74926395,4.040852825,-0.645216955,-0.580478713,-0.69007346,-0.616661145
465,4.572,-1.532579766,-1.210636109,-1.14145096,-0.711651458,0.750054743,4.049659349,-0.491626148,-0.36645382,-0.469826745,-0.418207583
466,4.442,-1.271975789,-0.7037380059999999,-1.122726933,-0.72704538,0.748983049,4.053765868999999,-0.441791065,-0.34094273399999997,-0.504423851,-0.393268071
467,4.441,-1.269971143,-0.7928347509999999,-1.1139232620000001,-0.736543506,0.748954782,4.041401561,-0.27026424600000004,-0.163747841,-0.35201856200000003,-0.219048121
468,4.37,-1.127641278,-0.112870457,-1.105245561,-0.7477326259999999,0.748954782,4.04494229,-0.26222866300000003,-0.167410687,-0.368249805,-0.22037608
469,4.511,-1.4102963609999999,0.145457273,-1.094701141,-0.750913246,0.748954782,4.069586016000001,-0.252052499,-0.152696952,-0.283954669,-0.200143595
470,4.331,-1.049460085,0.109086978,-1.090283135,-0.7536496559999999,0.748954782,4.086563415,-0.754757722,-0.6230288079999999,-0.621657693,-0.665163549
471,4.249,-0.885079115,0.070394938,-1.089718137,-0.761526933,0.751028558,4.108132978,-1.218338089,-1.077274246,-0.947270545,-1.110959341
472,4.312,-1.0113718109999998,-0.036335578,-1.087684211,-0.7741560390000001,0.7526300890000001,4.134359718,-1.259252463,-1.122381951,-0.964301895,-1.154661633
473,4.364,-1.115613402,0.681106555,-1.075479895,-0.797456257,0.7526300890000001,4.167509438,-1.2410337790000001,-1.10466485,-0.963911608,-1.136689007
474,4.44,-1.267966497,0.806070952,-1.065932171,-0.807330269,0.7526300890000001,4.1709083080000005,-1.2686513990000001,-1.12883454,-0.9980343690000001,-1.162032994
475,4.31,-1.00736252,0.718035984,-1.058677534,-0.814302168,0.748230121,4.161745025,-1.449397505,-1.3025290390000002,-1.161353517,-1.337126308
476,4.334,-1.055474023,0.637099724,-1.058828851,-0.809675832,0.748230121,4.154820774,-1.4864795819999999,-1.3307274059999998,-1.171699036,-1.367340471
477,4.25,-0.887083761,0.768140658,-1.055585349,-0.8112324320000001,0.748230121,4.143725175,-1.2217671,-1.077722401,-0.92396935,-1.111400317
478,4.2219999999999995,-0.830953673,0.935415495,-1.0508110259999999,-0.8089729090000001,0.750755882,4.133415739,-1.177749404,-1.033967618,-0.893638248,-1.067613004
479,4.1339999999999995,-0.654544827,0.9390205540000001,-1.0475496979999999,-0.80482365,0.754707358,4.126011288,-1.117178182,-0.978025367,-0.8524122,-1.01045712
480,4.12,-0.626479784,0.877976442,-1.046485768,-0.803339682,0.754707358,4.110690095,-1.496285465,-1.3416067870000001,-1.2259780340000002,-1.378189062
481,4.172,-0.730721375,0.760313455,-1.047209262,-0.804216642,0.754707358,4.095455966,-1.557882147,-1.400896582,-1.28340028,-1.4372507159999999
482,3.986,-0.35785722299999995,0.712762819,-1.0462094309999999,-0.8027895509999999,0.754707358,4.091281259,-1.229851553,-1.0880595579999999,-0.956973049,-1.120934117
483,3.9739999999999998,-0.333801471,0.649875456,-1.048388119,-0.805432376,0.754707358,4.077881902,-1.000299434,-0.818597347,-0.7369705409999999,-0.8664301940000001
484,3.799,0.017011575,0.6085779929999999,-1.049304159,-0.80752825,0.754707358,4.067776785,-1.0165403240000002,-0.8021707690000001,-0.7735545509999999,-0.866471752
