1313 L* Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend,LRO4 Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend,Alkane Age (kyr),Alkane Depth (amcd),Alkanes (ng/g),Alkanol Age (kyr),  Alkanol Depth (amcd),Alkanol (ng/g),  SST Depth (amcd),SST Age (kyr),SST (°C),Color Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
1751.9489999999998,83.95,67.96,-0.7855,3145.0,0.0,3.302,0.0127,896.8,42.99,231.08,0.0,0.0,0.0,44.84,941.81,15.54,3145.0,0.0,0.0,0.0,0.0
1753.111,84.0,67.69,-0.8342,3150.0,0.0,3.113,0.5658,897.69,43.03,142.9,0.0,0.0,0.0,44.86,942.36,16.64,3150.0,0.0,0.0,0.0,0.0
1754.273,84.05,68.64,-0.6669,3155.0,0.0,2.9619999999999997,1.0068,898.14,43.05,117.13,0.0,0.0,0.0,44.88,942.92,14.11,3155.0,0.0,0.0,0.0,0.0
1755.434,84.1,69.6,-0.4978,3160.0,0.0,2.9939999999999998,0.9078,898.59,43.07,145.07,0.0,0.0,0.0,44.92,944.04,16.52,3160.0,0.0,0.0,0.0,0.0
1756.596,84.15,71.33,-0.1923,3165.0,0.0,3.053,0.7291,898.81,43.08,65.25,0.0,0.0,0.0,44.94,944.6,14.8,3165.0,0.0,0.0,0.0,0.0
1757.7579999999998,84.2,71.61,-0.1436,3170.0,0.0,3.1319999999999997,0.4914,899.7,43.12,72.33,0.0,0.0,0.0,44.96,945.15,17.16,3170.0,0.0,0.0,0.0,0.0
1758.9189999999999,84.25,75.17,0.486,3175.0,0.0,3.187,0.3245,900.15,43.14,104.16,0.0,0.0,0.0,44.98,945.71,17.35,3175.0,0.0,0.0,0.0,0.0
1760.0810000000001,84.3,75.59,0.5594,3180.0,0.0,3.176,0.3524,900.59,43.16,73.6,0.0,0.0,0.0,45.02,946.83,16.63,3180.0,0.0,0.0,0.0,0.0
1761.2420000000002,84.35,73.83,0.2469,3185.0,0.0,3.1180000000000003,0.5189,901.04,43.18,106.17,0.0,0.0,0.0,45.04,947.38,16.91,3185.0,0.0,0.0,0.0,0.0
1762.404,84.4,75.58,0.5559,3190.0,0.0,2.985,0.9068,901.93,43.22,76.57,0.0,0.0,0.0,45.06,947.94,15.95,3190.0,0.0,0.0,0.0,0.0
1763.566,84.45,77.27,0.8543,3195.0,0.0,3.0980000000000003,0.5688,902.38,43.24,73.32,0.0,0.0,0.0,45.09,948.78,17.2,3195.0,0.0,0.0,0.0,0.0
1764.727,84.5,76.83,0.7755,3200.0,0.0,3.056,0.6881,902.82,43.26,168.84,0.0,0.0,0.0,45.13,949.89,18.27,3200.0,0.0,0.0,0.0,0.0
1765.889,84.55,76.03,0.6329,3205.0,0.0,2.975,0.9225,903.27,43.28,69.93,0.0,0.0,0.0,45.15,950.45,15.24,3205.0,0.0,0.0,0.0,0.0
1767.05,84.6,77.09,0.8197,3210.0,0.0,3.0669999999999997,0.6465,903.94,43.31,73.52,0.0,0.0,0.0,45.17,951.01,16.69,3210.0,0.0,0.0,0.0,0.0
1768.2120000000002,84.65,74.56,0.3707,3215.0,0.0,3.188,0.2849,904.39,43.33,92.07,0.0,0.0,0.0,45.19,951.57,15.66,3215.0,0.0,0.0,0.0,0.0
1769.374,84.7,74.2,0.3061,3220.0,0.0,3.1310000000000002,0.4485,904.83,43.35,91.43,0.0,0.0,0.0,45.23,952.68,16.48,3220.0,0.0,0.0,0.0,0.0
1770.535,84.75,75.27,0.4947,3225.0,0.0,3.205,0.2255,905.28,43.37,127.9,0.0,0.0,0.0,45.25,953.24,17.48,3225.0,0.0,0.0,0.0,0.0
1771.6970000000001,84.8,77.94,0.9666,3230.0,0.0,3.08,0.5898,906.17,43.41,165.85,0.0,0.0,0.0,45.27,953.8,17.77,3230.0,0.0,0.0,0.0,0.0
1772.859,84.85,78.13,0.9994,3235.0,0.0,3.213,0.1927,906.62,43.43,129.78,0.0,0.0,0.0,45.33,955.47,18.26,3235.0,0.0,0.0,0.0,0.0
1774.02,84.9,79.33,1.211,3240.0,0.0,3.088,0.557,907.06,43.45,107.75,0.0,0.0,0.0,45.35,956.03,18.26,3240.0,0.0,0.0,0.0,0.0
1775.182,84.95,79.02,1.1552,3245.0,0.0,3.09,0.5465,907.51,43.47,91.65,0.0,0.0,0.0,45.37,956.58,19.77,3245.0,0.0,0.0,0.0,0.0
1776.3429999999998,85.0,78.62,1.0835,3250.0,0.0,2.967,0.9048,908.4,43.51,165.89,0.0,0.0,0.0,45.39,957.14,19.0,3250.0,0.0,0.0,0.0,0.0
1777.505,85.05,78.73,1.102,3255.0,0.0,3.221,0.1508,908.85,43.53,81.59,0.0,0.0,0.0,45.4,957.42,20.01,3255.0,0.0,0.0,0.0,0.0
1778.6670000000001,85.1,79.16,1.1773,3260.0,0.0,3.208,0.1845,909.29,43.55,116.61,0.0,0.0,0.0,45.42,957.98,19.2,3260.0,0.0,0.0,0.0,0.0
1779.828,85.15,78.46,1.0524,3265.0,0.0,3.2910000000000004,-0.065,909.52,43.56,65.18,0.0,0.0,0.0,45.43,958.26,19.7,3265.0,0.0,0.0,0.0,0.0
1780.99,85.2,77.62,0.9028,3270.0,0.0,3.216,0.1517,910.41,43.6,53.15,0.0,0.0,0.0,45.44,958.54,19.22,3270.0,0.0,0.0,0.0,0.0
1782.151,85.25,77.78,0.9302,3275.0,0.0,3.2680000000000002,-0.0063,910.85,43.62,71.08,0.0,0.0,0.0,45.45,958.81,17.64,3275.0,0.0,0.0,0.0,0.0
1783.3129999999999,85.3,76.28,0.6636,3280.0,0.0,3.292,-0.0817,911.3,43.64,66.1,0.0,0.0,0.0,45.46,959.09,20.24,3280.0,0.0,0.0,0.0,0.0
1784.475,85.35,72.98,0.0783,3285.0,0.0,3.486,-0.6587,911.75,43.66,76.39,0.0,0.0,0.0,45.47,959.37,20.27,3285.0,0.0,0.0,0.0,0.0
1785.636,85.4,75.8,0.5768,3290.0,0.0,3.694,-1.2771,912.64,43.7,122.17,0.0,0.0,0.0,45.48,959.65,18.12,3290.0,0.0,0.0,0.0,0.0
1786.7979999999998,85.45,75.43,0.5104,3295.0,0.0,3.758,-1.4705,913.08,43.72,114.34,0.0,0.0,0.0,45.5,960.21,19.1,3295.0,0.0,0.0,0.0,0.0
1787.96,85.5,72.28,-0.0484,3300.0,0.0,3.707,-1.3246,913.53,43.74,260.46,0.0,0.0,0.0,45.5,960.21,20.28,3300.0,0.0,0.0,0.0,0.0
1789.121,85.55,70.76,-0.3185,3305.0,0.0,3.465,-0.6151,913.98,43.76,120.18,0.0,0.0,0.0,45.52,960.76,18.45,3305.0,0.0,0.0,0.0,0.0
1790.283,85.6,67.37,-0.9197,3310.0,0.0,3.392,-0.4043,914.87,43.8,114.3,0.0,0.0,0.0,45.54,961.32,19.89,3310.0,0.0,0.0,0.0,0.0
1791.444,85.65,66.0,-1.1633,3315.0,0.0,3.3080000000000003,-0.161,915.32,43.82,259.58,0.0,0.0,0.0,45.54,961.32,16.87,3315.0,0.0,0.0,0.0,0.0
1792.606,85.7,65.78,-1.2031,3320.0,0.0,3.128,0.3655,915.76,43.84,299.31,0.0,0.0,0.0,45.56,961.88,16.43,3320.0,0.0,0.0,0.0,0.0
1793.7679999999998,85.75,63.41,-1.6238,3325.0,0.0,3.217,0.0983,916.21,43.86,305.26,0.0,0.0,0.0,45.58,962.29,19.92,3325.0,0.0,0.0,0.0,0.0
1794.815,85.8,64.38,-1.4528,3330.0,0.0,3.312,-0.1866,917.1,43.9,381.97,0.0,0.0,0.0,45.62,963.11,19.91,3330.0,0.0,0.0,0.0,0.0
1795.8329999999999,85.85,69.49,-0.5486,3335.0,0.0,3.306,-0.1735,917.55,43.92,260.66,0.0,0.0,0.0,45.64,963.51,15.85,3335.0,0.0,0.0,0.0,0.0
1796.852,85.9,71.17,-0.2518,3340.0,0.0,3.408,-0.4791,917.99,43.94,248.05,0.0,0.0,0.0,45.66,963.92,16.09,3340.0,0.0,0.0,0.0,0.0
1797.87,85.95,72.24,-0.0631,3345.0,0.0,3.3110000000000004,-0.1974,918.44,43.96,236.12,0.0,0.0,0.0,45.68,964.33,15.51,3345.0,0.0,0.0,0.0,0.0
1798.889,86.0,72.43,-0.0303,3350.0,0.0,3.2289999999999996,0.0399,919.33,44.0,329.04,0.0,0.0,0.0,45.72,965.15,13.01,3350.0,0.0,0.0,0.0,0.0
1799.9070000000002,86.05,72.06,-0.0966,3355.0,0.0,3.2769999999999997,-0.1063,919.78,44.02,263.83,0.0,0.0,0.0,45.74,965.55,13.84,3355.0,0.0,0.0,0.0,0.0
1800.9260000000002,86.1,72.67,0.0106,3360.0,0.0,3.235,0.0131,920.22,44.04,312.76,0.0,0.0,0.0,45.76,965.96,11.8,3360.0,0.0,0.0,0.0,0.0
1801.944,86.15,73.22,0.1073,3365.0,0.0,3.085,0.4511,920.67,44.06,195.7,0.0,0.0,0.0,45.82,967.19,14.55,3365.0,0.0,0.0,0.0,0.0
1802.963,86.2,72.73,0.0197,3370.0,0.0,3.2089999999999996,0.0806,921.56,44.1,204.62,0.0,0.0,0.0,45.86,968.0,15.63,3370.0,0.0,0.0,0.0,0.0
1803.981,86.25,72.04,-0.1033,3375.0,0.0,3.4019999999999997,-0.4935,922.01,44.12,283.44,0.0,0.0,0.0,45.96,970.04,17.52,3375.0,0.0,0.0,0.0,0.0
1805.0,86.3,70.56,-0.3662,3380.0,0.0,3.33,-0.2856,922.45,44.14,163.46,0.0,0.0,0.0,46.06,972.08,18.21,3380.0,0.0,0.0,0.0,0.0
1806.0179999999998,86.35,73.9,0.2245,3385.0,0.0,3.267,-0.1043,922.9,44.16,380.81,0.0,0.0,0.0,46.16,974.12,18.12,3385.0,0.0,0.0,0.0,0.0
1807.037,86.4,75.37,0.4841,3390.0,0.0,3.181,0.1448,924.24,44.21,359.87,0.0,0.0,0.0,46.26,976.16,18.98,3390.0,0.0,0.0,0.0,0.0
1808.055,86.45,75.83,0.5648,3395.0,0.0,3.06,0.4973,924.8,44.23,220.1,0.0,0.0,0.0,46.36,978.21,17.57,3395.0,0.0,0.0,0.0,0.0
1809.0739999999998,86.5,75.31,0.4719,3400.0,0.0,3.1519999999999997,0.2212,925.36,44.25,206.78,0.0,0.0,0.0,46.46,980.25,15.09,3400.0,0.0,0.0,0.0,0.0
1810.0929999999998,86.55,75.89,0.5738,3405.0,0.0,3.1860000000000004,0.1163,925.92,44.27,204.99,0.0,0.0,0.0,46.56,982.29,16.58,3405.0,0.0,0.0,0.0,0.0
1811.111,86.6,77.24,0.8121,3410.0,0.0,3.1289999999999996,0.2799,927.03,44.31,480.76,0.0,0.0,0.0,46.66,984.33,17.08,3410.0,0.0,0.0,0.0,0.0
1812.13,86.65,77.38,0.8361,3415.0,0.0,3.0039999999999996,0.6442,927.59,44.33,362.17,0.0,0.0,0.0,46.74,985.96,16.31,3415.0,0.0,0.0,0.0,0.0
1813.148,86.7,78.12,0.9664,3420.0,0.0,3.128,0.2737,928.15,44.35,197.07,0.0,0.0,0.0,46.82,987.59,12.98,3420.0,0.0,0.0,0.0,0.0
1814.1670000000001,86.75,77.65,0.8823,3425.0,0.0,3.19,0.0862,928.7,44.37,162.81,0.0,0.0,0.0,46.92,989.25,16.06,3425.0,0.0,0.0,0.0,0.0
